uid	username	year	nodes	nodes_created	cur nodes	blankcount	count	v1count
42429	42429	2009-11-01	67	30	8	0	68	30
42429	42429	2010-01-01	1	0	0	0	1	0
21323	AE35	2012-08-01	530	519	493	0	530	519
653592	Advertalis Shpk	2012-04-01	13	6	7	0	14	6
3095	Alan	2006-09-01	238	238	184	19	238	238
3095	Alan	2006-12-01	206	207	73	0	207	207
3095	Alan	2007-07-01	172	172	91	5	172	172
3095	Alan	2007-08-01	3	4	0	0	4	4
3095	Alan	2008-04-01	13	8	6	0	14	8
2088853	AleksanderKoko	2014-05-01	1	1	0	0	1	1
1868065	Arjela-Megaphone	2014-01-01	72	65	64	0	73	65
651869	Aurimas Fišeras	2014-06-01	1	0	0	0	1	0
37109	Baruch	2009-06-01	0	0	0	0	1	0
72235	Basstoelpel	2012-12-01	60	57	33	2	60	57
17682	Bedee	2007-10-01	5	0	1	0	5	0
110838	Bernhard W	2012-12-01	0	0	0	0	1	0
355102	BesfortGuri	2014-05-01	6	6	5	0	6	6
1743062	Bledi81	2013-09-01	71	16	52	0	71	16
1751908	Blues Brothers	2013-11-01	3299	2997	3014	1	3299	2997
1751908	Blues Brothers	2014-01-01	255	214	227	0	255	214
1751908	Blues Brothers	2014-05-01	1347	971	1295	0	1348	971
1751908	Blues Brothers	2014-06-01	8739	7638	8449	0	8739	7638
1751908	Blues Brothers	2014-07-01	3322	3227	3287	1	3322	3227
1751908	Blues Brothers	2014-08-01	639	599	637	0	639	599
1751908	Blues Brothers	2014-12-01	1155	948	1106	0	1155	948
242896	Bronco351	2012-05-01	429	426	363	2	430	426
242896	Bronco351	2012-06-01	2	2	1	0	2	2
242896	Bronco351	2013-08-01	32	30	29	0	33	30
242896	Bronco351	2013-12-01	1	1	0	0	1	1
408450	BáthoryPéter	2013-07-01	36	19	4	0	37	19
408450	BáthoryPéter	2013-08-01	394	248	357	0	394	248
1393955	Chakra Jonë	2013-04-01	3	3	2	0	3	3
150368	Cicerone	2009-08-01	16	11	6	1	17	11
18069	Claudius Henrichs	2009-06-01	61	58	49	2	62	58
18069	Claudius Henrichs	2010-07-01	1	0	0	0	1	0
48310	DFae	2008-06-01	104	105	18	22	105	105
