uid	username	year	nodes	nodes_created	cur nodes	blankcount	count	v1count
1583038	1rice	2013-06-01	4	4	3	0	4	4
1818815	360 Media	2013-11-01	4	1	0	0	5	1
588741	3VSTORE	2012-01-01	2	2	1	0	3	2
42429	42429	2012-06-01	1988	1808	1768	14	1988	1808
42429	42429	2012-07-01	272	213	267	1	272	213
42429	42429	2014-06-01	30	23	22	0	30	23
42429	42429	2014-11-01	170	23	169	0	170	23
42429	42429	2014-12-01	36	14	35	0	36	14
750431	450qc	2012-07-01	7	5	5	0	7	5
1888525	71_FIL	2014-01-01	2	0	1	0	2	0
47064	7503146	2014-09-01	1	1	0	0	1	1
1754366	7vies	2013-09-01	1	0	0	0	1	0
1812197	A & M Services	2013-11-01	1	1	0	0	2	1
861149	A G	2012-09-01	56	56	55	0	56	56
441065	ALCE Samuel Paul	2014-05-01	1	1	0	0	1	1
467027	Abdesed	2011-07-01	6	3	4	0	7	3
407048	AbeleDesign	2011-02-01	0	1	0	0	1	1
1539368	Adam Martin	2014-11-01	881	272	749	0	882	272
1539368	Adam Martin	2014-12-01	5716	1996	5141	0	5716	1996
1539368	Adam Martin	2015-01-01	412	95	392	0	412	95
6616	Adamm	2007-09-01	128	128	67	61	128	128
76917	Adrian_ca	2008-11-01	34	0	5	0	35	0
2565477	Adrien_L	2015-01-01	4	2	3	0	4	2
1509188	Adéquation	2013-06-01	1	1	0	0	1	1
2118705	Aikawa Sushi	2014-06-01	1	1	0	0	1	1
495955	Alain Dionne	2011-07-01	28	27	23	0	28	27
321497	Alain512	2010-07-01	56	45	33	0	56	45
321497	Alain512	2010-08-01	103	83	50	0	103	83
321497	Alain512	2010-09-01	0	0	0	0	1	0
321497	Alain512	2011-08-01	192	185	184	0	192	185
321497	Alain512	2011-09-01	571	532	530	8	571	532
321497	Alain512	2011-10-01	2	2	2	0	3	2
321497	Alain512	2011-11-01	8	5	7	1	8	5
321497	Alain512	2012-08-01	1	1	0	0	1	1
321497	Alain512	2012-10-01	2	2	1	0	2	2
321497	Alain512	2012-11-01	17	12	15	0	18	12
321497	Alain512	2012-12-01	15	11	13	0	15	11
321497	Alain512	2013-07-01	20	0	13	0	20	0
321497	Alain512	2013-12-01	12	10	11	0	12	10
1722904	Alan Trick	2014-10-01	14	2	13	0	14	2
1838372	Alan45pqte	2013-12-01	1	1	0	0	1	1
1593053	Albeirich	2013-06-01	75	38	69	0	75	38
691572	Alberg	2012-05-01	2	2	0	0	2	2
1869121	Alex Roy	2014-01-01	3	0	2	0	3	0
1349707	AlexGorn	2013-04-01	473	343	416	0	473	343
1349707	AlexGorn	2013-11-01	282	229	281	0	282	229
52936	Alex_erson	2011-02-01	13	0	3	0	14	0
1757753	Alexandre Boulanger	2014-08-01	39	36	38	0	39	36
157521	Alexandre Chabran	2012-06-01	1	1	0	0	1	1
614319	Alexandre Vallières-Lagacé	2012-03-01	17	13	13	0	17	13
263032	Alexandre1545	2010-04-01	11	8	8	0	12	8
575668	Alidor	2011-12-01	1	0	0	0	2	0
575668	Alidor	2012-04-01	4	1	4	0	5	1
3600	Alistair	2006-09-01	289	290	21	104	290	290
307128	Allanot Nicolas	2012-11-01	1092	1051	1016	0	1093	1051
307128	Allanot Nicolas	2013-01-01	1	1	0	0	1	1
307128	Allanot Nicolas	2014-07-01	1	1	0	0	1	1
387523	Alouette955	2010-12-01	50	42	39	0	50	42
387523	Alouette955	2011-01-01	260	237	221	0	260	237
387523	Alouette955	2011-02-01	294	255	244	0	295	255
387523	Alouette955	2011-03-01	693	204	217	0	694	204
387523	Alouette955	2011-04-01	530	291	319	0	532	292
387523	Alouette955	2011-05-01	258	212	199	0	258	211
387523	Alouette955	2011-06-01	255	241	144	0	256	241
387523	Alouette955	2011-07-01	185	127	137	0	185	127
387523	Alouette955	2011-08-01	191	166	177	0	191	166
387523	Alouette955	2011-09-01	245	212	209	0	245	212
387523	Alouette955	2011-10-01	18	14	13	0	19	14
387523	Alouette955	2011-11-01	96	76	74	0	96	76
387523	Alouette955	2011-12-01	79	63	73	0	79	63
387523	Alouette955	2012-01-01	1	1	0	0	2	1
387523	Alouette955	2012-04-01	3	3	2	0	3	3
387523	Alouette955	2012-05-01	357	241	291	0	357	241
387523	Alouette955	2012-06-01	39	27	32	0	39	27
387523	Alouette955	2012-07-01	87	72	78	0	87	72
387523	Alouette955	2012-08-01	48	45	29	0	48	45
387523	Alouette955	2012-09-01	159	147	130	0	159	147
387523	Alouette955	2012-10-01	36	34	35	0	36	34
387523	Alouette955	2012-11-01	58	57	50	0	58	57
387523	Alouette955	2012-12-01	163	120	158	0	163	120
387523	Alouette955	2013-01-01	1	0	0	0	1	0
387523	Alouette955	2013-02-01	7	7	6	0	7	7
387523	Alouette955	2013-03-01	424	420	421	0	424	420
387523	Alouette955	2013-04-01	93	65	84	0	93	65
387523	Alouette955	2013-05-01	38	38	32	0	38	38
387523	Alouette955	2013-07-01	37	37	36	0	37	37
387523	Alouette955	2013-08-01	40	40	22	0	41	40
387523	Alouette955	2013-09-01	181	180	171	0	181	180
387523	Alouette955	2013-10-01	80	73	75	0	80	73
387523	Alouette955	2013-11-01	1	0	0	0	1	0
387523	Alouette955	2013-12-01	175	119	166	0	175	119
387523	Alouette955	2014-02-01	80	27	75	0	80	27
387523	Alouette955	2014-03-01	6	0	5	0	6	0
387523	Alouette955	2014-04-01	92	91	91	0	92	91
387523	Alouette955	2014-05-01	3	1	2	0	3	1
387523	Alouette955	2014-06-01	1	1	0	0	1	1
387523	Alouette955	2014-09-01	40	29	30	0	40	29
18068	AltijdVerdwaald	2008-11-01	95	96	65	2	96	96
1016290	Amaroussi	2014-08-01	1	0	0	0	1	0
888456	AmbiWeb	2012-09-01	0	0	0	0	1	0
269298	AmélieLR	2010-04-01	85	63	67	0	86	63
1869781	AndiG88	2014-07-01	1	0	0	0	1	0
31231	Andre68	2009-08-01	0	0	0	0	1	0
31231	Andre68	2009-10-01	17	11	16	0	17	11
31231	Andre68	2014-12-01	1	0	0	0	1	0
31231	Andre68	2015-01-01	10	3	9	0	10	3
592819	Andrew Fish	2013-12-01	27	16	26	0	27	16
173945	Andy106	2009-09-01	0	0	0	0	1	0
453535	Anna Filina	2011-05-01	32	4	19	0	33	4
309722	Anne Goldenberg	2012-08-01	1	1	0	0	1	1
309722	Anne Goldenberg	2012-12-01	16	8	3	0	16	8
309722	Anne Goldenberg	2013-05-01	1	1	0	0	1	1
22481	Antoine Beaupré	2007-12-01	1247	1143	877	13	1248	1143
22481	Antoine Beaupré	2011-12-01	171	107	127	0	171	107
22481	Antoine Beaupré	2012-01-01	1955	1036	950	0	1955	1036
22481	Antoine Beaupré	2012-02-01	15	2	10	0	15	2
22481	Antoine Beaupré	2012-12-01	14	12	7	0	15	12
22481	Antoine Beaupré	2013-06-01	0	0	0	0	1	0
22481	Antoine Beaupré	2013-07-01	12	0	11	0	13	0
22481	Antoine Beaupré	2013-09-01	1	1	0	0	1	1
22481	Antoine Beaupré	2013-12-01	0	0	0	0	3	2
22481	Antoine Beaupré	2014-01-01	2	2	1	0	0	0
22481	Antoine Beaupré	2014-02-01	2	1	1	0	2	1
22481	Antoine Beaupré	2014-03-01	11	6	9	0	11	6
22481	Antoine Beaupré	2014-04-01	2	2	1	0	2	2
22481	Antoine Beaupré	2014-11-01	116	82	82	0	116	82
1935469	Antoine Massé	2014-02-01	8	6	5	0	8	6
1326709	Antoine Reversat	2013-04-01	0	1	0	0	1	1
644636	Anubiser	2012-03-01	5	0	1	0	6	0
592608	Arno38	2012-01-01	22	23	3	0	23	23
204246	ArnoldM	2013-01-01	11	10	10	0	11	10
1824620	Arrolll	2013-11-01	0	0	0	0	1	0
1824620	Arrolll	2013-12-01	1	0	0	0	0	0
1615688	Arrondissement de Ville-Marie	2013-07-01	4	4	3	0	4	4
1523851	Artem Garanin	2013-06-01	7	0	4	0	8	0
2537638	Asakha	2015-01-01	13	4	12	0	13	4
297094	Ataraxic	2010-06-01	97	72	86	0	98	72
297094	Ataraxic	2010-10-01	17	1	15	0	17	1
297094	Ataraxic	2014-08-01	2	1	1	0	2	1
931260	Atnetion2	2012-09-01	42	39	29	0	42	39
2055546	AutoCoinage Bitcoin ATM	2014-05-01	9	3	3	0	10	3
2055546	AutoCoinage Bitcoin ATM	2014-08-01	8	1	1	0	9	1
2055546	AutoCoinage Bitcoin ATM	2014-09-01	5	1	0	0	5	1
2055546	AutoCoinage Bitcoin ATM	2014-10-01	1	0	0	0	1	0
2055546	AutoCoinage Bitcoin ATM	2014-11-01	1	0	0	0	1	0
2055546	AutoCoinage Bitcoin ATM	2014-12-01	2	0	1	0	2	0
24897	Axelf	2008-09-01	995	974	711	4	996	974
24897	Axelf	2008-10-01	69	0	0	0	70	0
24897	Axelf	2008-12-01	251	0	206	0	251	0
635911	BMZ21	2012-03-01	13	7	1	0	14	7
2460567	BTM Canada	2014-11-01	4	3	3	0	4	3
362767	BTessier	2011-05-01	1	0	1	0	2	0
362767	BTessier	2014-09-01	2	2	1	0	2	2
314680	B_Mike	2010-07-01	64	51	57	0	64	51
568054	Barthelemy Boisguerin	2011-12-01	1	1	0	0	1	1
1194642	Bastoune	2013-01-01	10	4	7	0	10	4
2111563	Baube	2014-06-01	52	52	51	0	52	52
2111563	Baube	2014-07-01	76	70	74	0	76	70
1729686	BeJay2000	2013-08-01	25	13	23	0	25	13
1729686	BeJay2000	2013-09-01	10	3	9	0	10	3
1729686	BeJay2000	2013-11-01	9	6	7	0	9	6
1729686	BeJay2000	2014-01-01	9	8	8	0	9	8
585704	Becer	2012-01-01	2	2	2	0	3	2
745906	Benoit Rochon	2014-03-01	19	15	16	0	19	15
616983	BenoitDupuis	2012-03-01	4	4	3	0	4	4
575637	BernBiz	2011-12-01	3	3	2	0	3	3
627978	Bernard Olivier	2012-03-01	22	22	21	0	22	22
533385	Bertr	2011-10-01	43	19	39	0	43	19
533385	Bertr	2012-08-01	30	30	29	0	30	30
533385	Bertr	2014-07-01	3	2	2	0	4	2
1799748	Better Tax Services	2013-11-01	2	1	0	0	3	1
3516	BiIbo	2011-05-01	1	0	0	0	1	0
486792	Bibit	2013-05-01	3	3	2	0	3	3
329453	Biff	2013-07-01	1	0	0	0	1	0
1729033	BigOrange	2013-08-01	26	23	25	0	26	23
81204	Bill Ricker	2009-08-01	111	106	71	0	112	106
2210086	BitAccess	2014-07-01	1	1	1	0	2	1
1744948	Bitcoin Embassy	2013-09-01	0	1	0	0	1	1
2135320	BitcoinMaps	2014-12-01	1	1	0	0	1	1
506275	Bkissin	2011-08-01	1	1	0	0	1	1
1473223	Blanca Mancilla	2013-05-01	11	9	6	0	12	9
1473223	Blanca Mancilla	2013-07-01	17	18	13	0	18	18
1473223	Blanca Mancilla	2013-08-01	3	3	2	0	3	3
1473223	Blanca Mancilla	2013-10-01	31	0	2	0	31	0
