uid	username	year	nodes	nodes_created	cur nodes	blankcount	count	v1count
321848	!Florian	2010-07-01	3	0	1	0	3	0
25720	!i!	2010-07-01	42	41	11	0	43	41
25720	!i!	2014-03-01	41	37	40	0	42	37
157434	*Joker*	2013-12-01	0	1	0	0	1	1
105897	*ch*	2009-07-01	2	2	0	0	2	2
105897	*ch*	2009-08-01	2	1	0	0	2	1
105897	*ch*	2011-06-01	4	1	0	0	5	1
39588	*roy*	2008-05-01	12	6	2	0	13	6
39588	*roy*	2008-06-01	666	327	164	1	667	327
39588	*roy*	2009-05-01	30	30	10	0	30	30
701645	*wheelz*	2012-06-01	3	2	1	0	4	2
46885	-=[JoKer]=-	2010-02-01	29	28	5	0	29	28
437215	-MA	2011-04-01	399	256	83	0	389	254
437215	-MA	2011-05-01	580	354	165	0	592	356
437215	-MA	2011-06-01	16	7	6	0	17	7
437215	-MA	2011-11-01	46	14	21	0	47	14
437215	-MA	2012-04-01	9	4	3	0	9	4
437215	-MA	2012-05-01	89	50	15	0	90	50
437215	-MA	2012-06-01	0	0	0	0	1	0
437215	-MA	2012-07-01	10	3	2	0	11	3
3418825	-Tom73-	2015-11-01	1	0	0	0	1	0
16315	-jha-	2008-07-01	145	87	18	0	146	87
16315	-jha-	2008-09-01	93	74	44	0	94	74
16315	-jha-	2010-03-01	5	5	2	0	5	5
16315	-jha-	2010-11-01	560	397	332	0	554	390
16315	-jha-	2010-12-01	0	0	0	0	7	7
16315	-jha-	2011-02-01	157	98	154	0	158	98
16315	-jha-	2012-03-01	433	419	312	0	434	419
16315	-jha-	2012-08-01	170	52	76	0	171	52
16315	-jha-	2013-04-01	2368	1786	1907	0	2368	1786
16315	-jha-	2013-05-01	279	272	273	0	280	272
16315	-jha-	2014-01-01	85	74	48	0	86	74
16315	-jha-	2014-02-01	119	96	99	0	120	96
16315	-jha-	2014-07-01	485	437	462	0	485	437
375423	-mauli-	2010-12-01	55	10	11	0	56	10
1440846	-zuck-	2013-05-01	1	0	0	0	1	0
1359384	00000	2013-04-01	94	28	28	0	95	28
55782	0123456789	2010-02-01	2	1	0	0	2	1
3182972	030condor	2015-09-01	1	0	1	0	2	0
2861685	030daten	2015-04-01	0	1	0	0	1	1
715129	05hamburg	2012-06-01	16	11	12	0	17	11
715129	05hamburg	2014-02-01	1	0	0	0	1	0
1986536	0815jogger	2014-03-01	6437	6008	6222	0	6438	6008
1986536	0815jogger	2014-04-01	71	61	64	0	72	61
1986536	0815jogger	2014-06-01	8	8	7	0	8	8
1986536	0815jogger	2014-08-01	76	76	75	0	76	76
1986536	0815jogger	2014-09-01	1	1	0	0	2	1
1986536	0815jogger	2014-11-01	224	224	223	0	224	224
1986536	0815jogger	2014-12-01	2027	2019	2026	0	2027	2019
1986536	0815jogger	2015-01-01	0	0	0	0	1	0
1986536	0815jogger	2015-05-01	1	0	1	0	2	0
495425	0815pseudonym	2011-07-01	6	5	1	0	7	5
1874538	0acht15	2014-01-01	55	46	50	0	55	46
1874538	0acht15	2014-05-01	2	1	1	0	2	1
2122866	0jGhz9iq2wph	2014-06-01	2	2	0	0	3	2
2122866	0jGhz9iq2wph	2014-07-01	0	0	0	0	1	0
1260805	0km	2013-03-01	1	0	0	0	2	0
876479	0und1	2014-04-01	6	4	5	0	7	4
132497	0x17	2015-09-01	83	82	81	0	83	82
132497	0x17	2015-10-01	96	95	95	0	96	95
1792748	10243berlin	2013-11-01	6	0	0	0	7	0
1792748	10243berlin	2014-01-01	0	0	0	0	1	0
1792748	10243berlin	2014-11-01	0	0	0	0	1	0
716082	110864	2012-07-01	1	1	0	0	1	1
1031477	111-4	2012-11-01	3	3	2	0	3	3
1709501	123a	2013-08-01	2	0	0	0	3	0
2177726	123berlin	2014-07-01	11	10	9	0	11	10
3202939	123gold	2015-09-01	1	0	0	0	2	0
170672	1248	2009-09-01	2122	1495	1020	0	2122	1495
170672	1248	2009-10-01	648	510	352	0	649	510
170672	1248	2009-12-01	322	244	97	0	323	244
170672	1248	2010-01-01	0	0	0	0	1	0
170672	1248	2012-09-01	162	86	84	0	163	86
35935	13 digits	2008-05-01	37	31	18	0	38	31
35935	13 digits	2010-12-01	50	50	2	0	50	50
35935	13 digits	2011-02-01	14	10	9	0	15	10
35935	13 digits	2012-04-01	19	16	4	0	20	16
35935	13 digits	2013-12-01	244	112	57	0	245	112
35935	13 digits	2014-01-01	58	50	21	0	59	50
