uid	username	year	nodes	nodes_created	cur nodes	blankcount	count	v1count
2916708	!TS!	2015-05-01	3	3	2	0	3	3
1229096	--toc	2013-02-01	39	30	22	0	40	30
1229096	--toc	2013-03-01	33	25	24	0	34	25
1229096	--toc	2013-05-01	139	112	130	0	140	112
585091	-Chaz-	2012-01-01	10	7	9	0	10	7
3455649	-JD-	2015-12-01	1	0	0	0	1	0
641585	-None-	2012-03-01	1	1	0	0	1	1
1801991	-heidieh-	2013-11-01	1	1	1	0	2	1
72555	-karlos-	2014-05-01	16	14	15	0	16	14
234874	-raul	2012-01-01	0	0	0	0	1	0
55782	0123456789	2009-01-01	55	2	2	0	56	2
55782	0123456789	2009-02-01	0	0	0	0	1	0
55782	0123456789	2009-03-01	0	0	0	0	1	0
55782	0123456789	2009-04-01	38	0	1	0	39	0
55782	0123456789	2009-11-01	3	0	1	0	4	0
55782	0123456789	2009-12-01	5	0	1	0	5	0
55782	0123456789	2010-01-01	4	2	3	0	5	2
55782	0123456789	2010-02-01	11	7	3	0	11	7
55782	0123456789	2010-03-01	25	18	13	0	26	18
55782	0123456789	2010-04-01	10	1	2	0	11	1
55782	0123456789	2010-05-01	14	11	2	0	14	11
55782	0123456789	2010-06-01	1	0	0	0	1	0
55782	0123456789	2010-07-01	1	1	0	0	1	1
55782	0123456789	2010-08-01	1	1	1	0	2	1
55782	0123456789	2010-10-01	8	0	0	0	9	0
55782	0123456789	2010-11-01	3	0	2	0	4	0
55782	0123456789	2011-02-01	15	12	0	0	16	12
55782	0123456789	2011-03-01	18	13	16	0	19	13
55782	0123456789	2011-07-01	42	20	30	0	42	20
55782	0123456789	2011-08-01	8	8	7	0	8	8
55782	0123456789	2012-01-01	33	22	25	0	34	22
55782	0123456789	2012-05-01	142	135	73	0	143	135
55782	0123456789	2012-06-01	118	101	108	0	118	101
55782	0123456789	2013-04-01	19	17	16	0	19	17
1787420	0atman	2013-10-01	1	0	0	0	1	0
37193	1001	2011-08-01	1	1	0	0	1	1
1922013	101geo	2014-02-01	1	1	0	0	1	1
2786598	1234andyroberts	2015-03-01	9	9	8	0	9	9
2786598	1234andyroberts	2015-06-01	6	6	5	0	6	6
3420634	158tjb	2015-11-01	8	8	7	0	8	8
2465506	1930map	2014-11-01	1	1	0	0	1	1
314733	1lazza	2010-07-01	1	1	0	0	2	1
513088	2011victor	2011-08-01	1	1	0	0	1	1
2436714	247WasteRemoval	2014-10-01	0	1	0	0	1	1
2486753	247pestcontrol	2014-11-01	0	1	0	0	1	1
2402923	24HrCentral	2014-10-01	10	6	7	0	10	6
1897530	2_3_4	2014-01-01	210	109	112	0	211	109
649338	3danimator	2012-04-01	5	5	4	0	5	5
42429	42429	2011-10-01	2	0	0	0	3	0
42429	42429	2011-11-01	23	0	0	0	24	0
1420318	4b696d	2015-11-01	6	0	5	0	6	0
1968132	4markowen	2015-02-01	5	5	2	0	5	5
582708	4ndr3vv	2012-01-01	6	2	3	0	6	2
72264	51114u9	2008-10-01	1	0	0	0	2	0
715371	715371	2013-08-01	1	0	0	0	1	0
1238	80n	2007-12-01	1	0	0	0	1	0
1238	80n	2008-05-01	1	0	0	0	1	0
1238	80n	2008-07-01	1	0	0	0	1	0
1238	80n	2008-11-01	3	0	2	0	3	0
1238	80n	2009-03-01	2	0	0	0	3	0
1238	80n	2009-06-01	1	0	0	0	1	0
1238	80n	2009-12-01	0	0	0	0	1	0
1238	80n	2010-06-01	1	0	0	0	1	0
1238	80n	2010-07-01	1	0	1	0	2	0
186135	8lettersuk	2009-10-01	4	2	1	0	4	2
186135	8lettersuk	2012-03-01	1	1	0	0	1	1
1195139	919er	2013-01-01	10	4	8	0	11	4
1195139	919er	2013-05-01	4	1	3	0	4	1
1195139	919er	2013-07-01	7	8	5	0	8	8
1195139	919er	2013-12-01	11	11	10	0	11	11
1195139	919er	2015-03-01	6	2	5	0	6	2
2046159	@LS@	2014-05-01	59	34	47	0	60	34
2046159	@LS@	2014-06-01	55	7	46	0	55	7
2046159	@LS@	2014-11-01	1	1	1	0	2	1
2046159	@LS@	2014-12-01	1	0	0	0	1	0
1993136	@rafszul	2014-03-01	1	1	0	0	1	1
2847790	ABetterToday	2015-06-01	1	1	0	0	1	1
20372	ACM	2014-03-01	2	2	1	0	3	2
3203620	ADAVEL	2015-09-01	2	1	1	0	2	1
65989	ADCrawley	2010-01-01	16	7	0	0	17	7
1479407	ADM79	2013-05-01	1	1	0	0	1	1
21323	AE35	2013-04-01	5	0	0	0	6	0
2785424	AG71	2015-03-01	2	0	1	0	2	0
83873	AJ Lund	2011-10-01	130	97	56	0	130	97
83873	AJ Lund	2011-11-01	64	27	25	0	65	27
83873	AJ Lund	2011-12-01	10	9	4	0	10	9
2939936	AJCLARK	2015-05-01	0	0	0	0	1	0
2725751	AJGL	2015-03-01	1	0	0	0	1	0
223002	AJRuk	2010-01-01	8	3	5	0	8	3
223002	AJRuk	2010-08-01	7	7	0	0	8	7
223002	AJRuk	2011-03-01	4	1	1	0	5	1
223002	AJRuk	2012-07-01	18	17	6	0	18	17
3275446	AM2815	2015-09-01	8	7	6	0	8	7
172180	AMB	2012-12-01	9	0	7	0	9	0
172180	AMB	2013-01-01	22	5	20	0	22	5
172180	AMB	2013-02-01	0	0	0	0	1	0
172180	AMB	2013-05-01	1	0	0	0	1	0
172180	AMB	2013-06-01	1	0	1	0	2	0
172180	AMB	2013-07-01	1	0	0	0	1	0
