user_name	date	count	v1count	blankcount
42429	2010-05-15	545	130	1
42429	2010-05-17	46	6	0
42429	2010-05-18	52	33	0
<0174	2015-11-21	16	15	0
Abah	2012-05-25	4	4	0
AlkalIn	2013-01-22	38	20	1
AlkalIn	2013-02-25	740	421	2
AlkalIn	2013-05-04	531	185	0
AlkalIn	2015-07-01	39	4	0
Atangana Jacques Landry	2014-03-31	45	45	0
Atangana Jacques Landry	2015-01-31	84	22	0
Atangana Jacques Landry	2015-08-31	13	12	0
Aurimas Fišeras	2014-05-23	20	0	0
Aurimas Fišeras	2014-05-24	13	1	0
Aurimas Fišeras	2015-08-11	25	11	0
BRUNEL HERMANN	2015-07-31	4040	4040	0
BRUNEL HERMANN	2015-08-03	11861	11627	0
BRUNEL HERMANN	2015-08-04	761	756	0
BRUNEL HERMANN	2015-08-05	5871	5871	0
Be-Mobile	2015-09-15	1	0	0
Coastlines-RJB	2007-01-02	115	115	7
Coyau	2013-06-12	41	40	0
DEMANOU WAMBA Richard	2015-08-03	82	82	0
DIBOMBARI7	2015-07-30	16	16	1
Dave Stanley	2013-01-20	3	2	0
Dave Stanley	2013-01-23	6	4	0
Dave Stanley	2013-05-06	23	13	0
Diana94	2011-09-27	52	52	0
EMARA ARIANE	2015-07-30	114	114	0
EMARA ARIANE	2015-08-01	335	335	0
EMARA ARIANE	2015-08-03	2594	2594	0
EMARA ARIANE	2015-08-05	140	135	0
Eckhart Wörner	2014-12-23	44	0	0
Franck_Camidus	2013-02-28	28	2	0
Frank Gyselinck	2012-12-14	1	1	0
FuckOSMFandODbL	2012-07-13	18	3	0
FvGordon	2015-10-28	52	21	0
Gagravarr	2007-03-18	1	1	1
GeoCameroun	2013-09-02	13	13	0
GeoCameroun	2013-09-16	9	9	1
GeoCameroun	2013-09-22	6	6	1
GeoCameroun	2013-09-23	16	0	0
Gildas_Clmnt	2014-03-31	94	89	0
Greg Henderson	2011-06-24	1	1	0
Gustry	2013-07-07	169	169	4
HolgerJeromin	2010-12-27	52	46	0
HolgerJeromin	2010-12-28	389	380	3
HolgerJeromin	2010-12-29	11	8	0
HolgerJeromin	2011-01-19	135	96	0
HolgerJeromin	2011-01-20	496	181	5
HolgerJeromin	2011-01-22	7	3	0
HolgerJeromin	2011-01-23	34	22	1
HolgerJeromin	2011-01-24	169	144	1
HolgerJeromin	2011-01-25	2	2	0
HolgerJeromin	2011-01-30	172	34	0
HolgerJeromin	2011-01-31	9	2	0
HolgerJeromin	2011-02-01	178	107	0
HolgerJeromin	2011-02-05	31	19	0
HolgerJeromin	2011-02-06	542	445	1
HolgerJeromin	2011-05-26	57	50	0
HolgerJeromin	2012-01-16	60	14	0
HolgerJeromin	2012-01-17	4	0	0
HolgerJeromin	2012-11-19	1	0	0
Jack Pham	2013-10-17	2	2	0
Jake Strine	2014-08-18	1	0	0
Joe E	2014-04-17	109	94	0
Johnwhelan	2015-11-20	221	221	1
Joseph OLINGA	2014-05-22	1	0	0
Jotam	2015-06-04	2	0	0
JulienBalas	2014-07-14	78	0	0
KDRT	2015-05-25	463	28	0
KDRT	2015-07-30	520	508	0
LA2	2007-04-24	1	1	1
Leonard Kouoh	2013-08-07	32	32	0
Luis36995	2015-09-07	1	0	0
Lutino	2012-11-23	104	104	0
MATAGNE	2014-10-25	4	4	0
MATAGNE	2014-11-08	127	77	0
MPOH Marcel Joël	2015-07-30	9	9	1
Marcelj3	2014-08-03	42	31	0
Marta Pucciarelli	2012-12-07	8	5	0
Marta Pucciarelli	2012-12-11	1	1	0
MichaelCollinson	2008-11-05	1	0	0
Muller28	2014-08-05	13	13	0
Numeris plus	2010-05-28	1	0	0
OSMF Redaction Account	2012-07-20	1	0	0
Offtaps	2013-12-13	2	2	0
Oumar SAVADOGO	2015-07-01	6	6	0
Oumar SAVADOGO	2015-11-27	2	1	0
PHerison	2011-01-07	76	28	0
PHerison	2011-01-08	213	89	0
Patrick Bous	2014-08-25	24	0	0
Peter14	2013-12-14	5	0	0
Peter14	2013-12-18	4	0	0
Peter14	2013-12-21	1	0	0
Peter14	2013-12-22	2	0	0
Peter14	2013-12-25	7	2	0
Peter14	2013-12-29	1	0	0
Peter14	2013-12-31	1	0	0
Peter14	2014-01-04	21	1	0
Peter14	2014-05-20	5	0	0
Pierre TOUZARD	2011-06-30	7	4	0
Pierre TOUZARD	2013-02-10	3	3	1
R GUILBERT	2014-03-24	3	1	0
RR81	2012-07-12	312	230	0
RR81	2012-07-24	727	588	0
RatZillaS	2012-02-04	38	21	0
Richard Cain	2015-05-13	4	4	0
RoadGeek_MD99	2012-10-23	10	3	0
Rodrigue Y	2015-12-02	5	4	0
Rub21	2014-07-14	1	1	0
SOGEFI	2014-01-01	13	9	0
SOGEFI	2014-04-28	33	33	0
SOGEFI	2014-06-14	29	23	0
SOGEFI	2014-06-18	89	69	2
SOGEFI	2014-07-31	4	0	0
SOGEFI	2014-08-08	4	4	0
SOGEFI	2014-08-17	179394	179296	2
SOGEFI	2014-08-18	42000	42000	0
SOGEFI	2014-08-21	10000	10000	0
SOGEFI	2014-08-22	186490	186490	0
SOGEFI	2014-08-23	263511	263511	0
